Mon	Year	NAO
Jun	1761	0.43
Jul	1761	1.42
Aug	1761	-0.71
Sep	1761	1.59
Oct	1761	-2.02
Nov	1761	0.13
Dec	1761	-1.94
Jan	1762	1.24
Feb	1762	1.09
Mar	1762	-1.24
Apr	1762	0.62
May	1762	0.27
Jun	1762	-0.2
Jul	1762	0.25
Aug	1762	-0.26
Sep	1762	-0.76
Oct	1762	-2.24
Nov	1762	0.18
Dec	1762	-0.6
Jan	1763	-1.68
Feb	1763	1.65
Mar	1763	-0.34
Apr	1763	-0.67
May	1763	-0.36
Jun	1763	-0.35
Jul	1763	1.45
Aug	1763	0.87
Sep	1763	-1.43
Oct	1763	-0.51
Nov	1763	-0.5
Dec	1763	-0.1
Jan	1764	1.3
Feb	1764	0.89
Mar	1764	-0.67
Apr	1764	0.52
May	1764	0.97
Jun	1764	0.55
Jul	1764	0.67
Aug	1764	0.14
Sep	1764	0.02
Oct	1764	-0.51
Nov	1764	-1.21
Dec	1764	-0.91
Jan	1765	1.4
Feb	1765	0.39
Mar	1765	1.71
Apr	1765	1.16
May	1765	-1.14
Jun	1765	0.15
Jul	1765	-0.47
Aug	1765	0.17
Sep	1765	-1.24
Oct	1765	1.05
Nov	1765	0.72
Dec	1765	-1.95
Jan	1766	-2.66
Feb	1766	-0.54
Mar	1766	0.47
Apr	1766	0.72
May	1766	0.07
Jun	1766	1.08
Jul	1766	0.79
Aug	1766	1.01
Sep	1766	0.1
Oct	1766	-0.41
Nov	1766	1.08
Dec	1766	-1.62
Jan	1767	-2.88
Feb	1767	1.39
Mar	1767	0.19
Apr	1767	-1.83
May	1767	0.22
Jun	1767	0.04
Jul	1767	0.23
Aug	1767	-0.06
Sep	1767	1.13
Oct	1767	0.36
Nov	1767	1.09
Dec	1767	-1.36
Jan	1768	-1.58
Feb	1768	1.14
Mar	1768	-1.66
Apr	1768	0.8
May	1768	-0.61
Jun	1768	-1.6
Jul	1768	-0.7
Aug	1768	0.24
Sep	1768	-0.7
Oct	1768	-0.69
Nov	1768	1.2
Dec	1768	0.67
Jan	1769	-0.33
Feb	1769	0.07
Mar	1769	-0.31
Apr	1769	-0.56
May	1769	-0.16
Jun	1769	1.59
Jul	1769	0.54
Aug	1769	1.34
Sep	1769	0.05
Oct	1769	-3.49
Nov	1769	-1.08
Dec	1769	-0.07
Jan	1770	-0.16
Feb	1770	1.22
Mar	1770	-2.42
Apr	1770	-0.86
May	1770	-1.49
Jun	1770	2.14
Jul	1770	-0.34
Aug	1770	0.93
Sep	1770	1.54
Oct	1770	2.47
Nov	1770	-0.5
Dec	1770	1.1
Jan	1771	-0.68
Feb	1771	-0.95
Mar	1771	-3.03
Apr	1771	-2.35
May	1771	-0.11
Jun	1771	-1.12
Jul	1771	1.14
Aug	1771	1.03
Sep	1771	-0.54
Oct	1771	1.13
Nov	1771	-0.77
Dec	1771	1.27
Jan	1772	-1.75
Feb	1772	-2.22
Mar	1772	-1.88
Apr	1772	-0.82
May	1772	-2.69
Jun	1772	-0.01
Jul	1772	0.6
Aug	1772	1.33
Sep	1772	1.13
Oct	1772	3.29
Nov	1772	3.75
Dec	1772	0.29
Jan	1773	0.15
Feb	1773	-0.15
Mar	1773	-0.27
Apr	1773	1.08
May	1773	-0.15
Jun	1773	-0.09
Jul	1773	-0.34
Aug	1773	0.57
Sep	1773	3.2
Oct	1773	1.9
Nov	1773	1.38
Dec	1773	-0.69
Jan	1774	-1.98
Feb	1774	1.03
Mar	1774	-1.15
Apr	1774	-0.25
May	1774	-0.25
Jun	1774	2.65
Jul	1774	2.15
Aug	1774	0.3
Sep	1774	0.34
Oct	1774	-1.43
Nov	1774	-4.19
Dec	1774	-1.76
Jan	1775	0.43
Feb	1775	1.87
Mar	1775	1.69
Apr	1775	-0.46
May	1775	0.37
Jun	1775	1.31
Jul	1775	2.08
Aug	1775	3.59
Sep	1775	3.15
Oct	1775	1.78
Nov	1775	-1.37
Dec	1775	0.79
Jan	1776	-2.89
Feb	1776	3.05
Mar	1776	0.07
Apr	1776	-0.46
May	1776	-1.14
Jun	1776	2.6
Jul	1776	2.26
Aug	1776	1.75
Sep	1776	0.84
Oct	1776	0.19
Nov	1776	0.38
Dec	1776	0.08
Jan	1777	-0.77
Feb	1777	-0.46
Mar	1777	-0.12
Apr	1777	-1.17
May	1777	2.52
Jun	1777	1.06
Jul	1777	-0.74
Aug	1777	1.4
Sep	1777	-0.7
Oct	1777	0.34
Nov	1777	0.52
Dec	1777	-1.08
Jan	1778	-0.86
Feb	1778	0.08
Mar	1778	-0.17
Apr	1778	0.28
May	1778	1.86
Jun	1778	0.69
Jul	1778	1.32
Aug	1778	0.68
Sep	1778	-0.77
Oct	1778	-1.27
Nov	1778	0.68
Dec	1778	1.03
Jan	1779	-0.72
Feb	1779	2.19
Mar	1779	1.25
Apr	1779	2.05
May	1779	1.7
Jun	1779	-1.84
Jul	1779	-1.62
Aug	1779	0.36
Sep	1779	1.53
Oct	1779	1.12
Nov	1779	0.1
Dec	1779	-1.2
Jan	1780	-2.41
Feb	1780	0.15
Mar	1780	2.96
Apr	1780	-1.05
May	1780	1.28
Jun	1780	1.4
Jul	1780	2.23
Aug	1780	-1.78
Sep	1780	0.34
Oct	1780	-0.57
Nov	1780	-1.53
Dec	1780	-2.24
Jan	1781	-1.24
Feb	1781	0.71
Mar	1781	0.2
Apr	1781	0.07
May	1781	-1.41
Jun	1781	1.06
Jul	1781	2.3
Aug	1781	3.63
Sep	1781	0.58
Oct	1781	-1.37
Nov	1781	0.74
Dec	1781	-0.76
Jan	1782	1.56
Feb	1782	-0.8
Mar	1782	-0.25
Apr	1782	-1.64
May	1782	0.28
Jun	1782	1.51
Jul	1782	0.11
Aug	1782	-0.46
Sep	1782	0.46
Oct	1782	-1.34
Nov	1782	-1.82
Dec	1782	-1.24
Jan	1783	-0.38
Feb	1783	0.7
Mar	1783	-0.93
Apr	1783	0.91
May	1783	0.07
Jun	1783	1.93
Jul	1783	2.15
Aug	1783	1.35
Sep	1783	2.18
Oct	1783	0.75
Nov	1783	-1.14
Dec	1783	-0.86
Jan	1784	-0.88
Feb	1784	0.25
Mar	1784	-2.7
Apr	1784	-1.12
May	1784	0.81
Jun	1784	1.07
Jul	1784	1.72
Aug	1784	0.14
Sep	1784	-1.27
Oct	1784	-1.84
Nov	1784	0.96
Dec	1784	-2.52
Jan	1785	0.26
Feb	1785	-1.5
Mar	1785	-2.52
Apr	1785	-0.22
May	1785	-0.59
Jun	1785	-1.39
Jul	1785	1.26
Aug	1785	0.34
Sep	1785	-0.24
Oct	1785	-0.29
Nov	1785	0.54
Dec	1785	-2.35
Jan	1786	0.3
Feb	1786	-0.43
Mar	1786	-2.64
Apr	1786	-1.53
May	1786	-0.19
Jun	1786	-1.22
Jul	1786	0.55
Aug	1786	0.81
Sep	1786	1.61
Oct	1786	-1.02
Nov	1786	-3.6
Dec	1786	0.04
Jan	1787	-1.59
Feb	1787	1.33
Mar	1787	1.67
Apr	1787	-0.2
May	1787	1.32
Jun	1787	1.13
Jul	1787	1.43
Aug	1787	1.2
Sep	1787	-0.6
Oct	1787	1.26
Nov	1787	-1.09
Dec	1787	-1.54
Jan	1788	-1.18
Feb	1788	-0.96
Mar	1788	-3.05
Apr	1788	0.89
May	1788	-0.03
Jun	1788	-0.92
Jul	1788	2.26
Aug	1788	0.45
Sep	1788	1.07
Oct	1788	-2.18
Nov	1788	-0.27
Dec	1788	-3.83
Jan	1789	-0.68
Feb	1789	1.84
Mar	1789	-4.17
Apr	1789	-1.06
May	1789	0.24
Jun	1789	1.67
Jul	1789	2.56
Aug	1789	0.54
Sep	1789	1.39
Oct	1789	2.1
Nov	1789	0.03
Dec	1789	2.59
Jan	1790	0.1
Feb	1790	1.37
Mar	1790	0.48
Apr	1790	-2.57
May	1790	-0.2
Jun	1790	2.22
Jul	1790	1.72
Aug	1790	1.95
Sep	1790	0.01
Oct	1790	-0.35
Nov	1790	0.09
Dec	1790	0.63
Jan	1791	2.82
Feb	1791	0.79
Mar	1791	1.5
Apr	1791	0.88
May	1791	-0.19
Jun	1791	1.24
Jul	1791	2.17
Aug	1791	1.47
Sep	1791	-1.63
Oct	1791	0.32
Nov	1791	1.1
Dec	1791	-0.4
Jan	1792	-1.15
Feb	1792	-0.26
Mar	1792	-0.05
Apr	1792	2.11
May	1792	0.58
Jun	1792	0.5
Jul	1792	1.96
Aug	1792	-0.17
Sep	1792	1.71
Oct	1792	-0.64
Nov	1792	0.56
Dec	1792	0.89
Jan	1793	-0.29
Feb	1793	1.21
Mar	1793	-0.17
Apr	1793	-1.32
May	1793	-0.7
Jun	1793	2.03
Jul	1793	1.4
Aug	1793	2.74
Sep	1793	-0.49
Oct	1793	1.23
Nov	1793	-0.77
Dec	1793	-1.16
Jan	1794	-0.34
Feb	1794	0.8
Mar	1794	1.72
Apr	1794	1.43
May	1794	1.01
Jun	1794	0.83
Jul	1794	1.84
Aug	1794	1.15
Sep	1794	0.47
Oct	1794	2.07
Nov	1794	-0.32
Dec	1794	-0.19
Jan	1795	-1.95
Feb	1795	-0.37
Mar	1795	-1.7
Apr	1795	-0.02
May	1795	-1.23
Jun	1795	-0.43
Jul	1795	-0.13
Aug	1795	0.28
Sep	1795	-0.24
Oct	1795	1.24
Nov	1795	0.17
Dec	1795	-0.33
Jan	1796	3.11
Feb	1796	-0.28
Mar	1796	-1.44
Apr	1796	-0.24
May	1796	0.57
Jun	1796	3.58
Jul	1796	2.73
Aug	1796	0.86
Sep	1796	-0.34
Oct	1796	0.78
Nov	1796	-0.44
Dec	1796	-1.92
Jan	1797	-0.21
Feb	1797	0.88
Mar	1797	0.01
Apr	1797	-0.94
May	1797	0.71
Jun	1797	1.02
Jul	1797	2.16
Aug	1797	2.78
Sep	1797	2.55
Oct	1797	0.57
Nov	1797	-0.17
Dec	1797	1.57
Jan	1798	-0.24
Feb	1798	0.21
Mar	1798	-0.45
Apr	1798	1.23
May	1798	1.52
Jun	1798	1.88
Jul	1798	3.62
Aug	1798	2.58
Sep	1798	1.1
Oct	1798	1.64
Nov	1798	1.4
Dec	1798	-1.14
Jan	1799	1.28
Feb	1799	-0.3
Mar	1799	-2.63
Apr	1799	-0.98
May	1799	-0.84
Jun	1799	0.58
Jul	1799	1.4
Aug	1799	2.63
Sep	1799	0.46
Oct	1799	-0.15
Nov	1799	1.67
Dec	1799	-2.79
Jan	1800	0.07
Feb	1800	-1.08
Mar	1800	-2.2
Apr	1800	1.2
May	1800	-0.29
Jun	1800	-0.58
Jul	1800	-0.48
Aug	1800	-0.72
Sep	1800	-0.38
Oct	1800	1.14
Nov	1800	1.08
Dec	1800	0.07
Jan	1801	0.18
Feb	1801	0.11
Mar	1801	2.05
Apr	1801	-0.46
May	1801	1.46
Jun	1801	0.71
Jul	1801	0.78
Aug	1801	-1.91
Sep	1801	-1.01
Oct	1801	0.47
Nov	1801	1.28
Dec	1801	-0.78
Jan	1802	-1.22
Feb	1802	1.02
Mar	1802	1.34
Apr	1802	1.16
May	1802	-1.88
Jun	1802	1.14
Jul	1802	2.19
Aug	1802	2.38
Sep	1802	-1.06
Oct	1802	1.33
Nov	1802	-1.19
Dec	1802	-0.59
Jan	1803	-2.42
Feb	1803	0.43
Mar	1803	-0.58
Apr	1803	1.7
May	1803	1.02
Jun	1803	0.41
Jul	1803	0.04
Aug	1803	2.23
Sep	1803	-0.83
Oct	1803	-1.44
Nov	1803	-0.46
Dec	1803	-1.13
Jan	1804	0.51
Feb	1804	-0.65
Mar	1804	-1.64
Apr	1804	-1.35
May	1804	1.75
Jun	1804	1.53
Jul	1804	0.45
Aug	1804	1.68
Sep	1804	0.55
Oct	1804	1.79
Nov	1804	-1.38
Dec	1804	-2.92
Jan	1805	-0.87
Feb	1805	0.29
Mar	1805	-0.2
Apr	1805	-0.78
May	1805	-1.8
Jun	1805	-0.8
Jul	1805	0.31
Aug	1805	0.2
Sep	1805	0.12
Oct	1805	-2.51
Nov	1805	-0.96
Dec	1805	0.14
Jan	1806	1.48
Feb	1806	-0.09
Mar	1806	-1.06
Apr	1806	-3.11
May	1806	-1.66
Jun	1806	-0.48
Jul	1806	-0.52
Aug	1806	2.5
Sep	1806	0.76
Oct	1806	-0.45
Nov	1806	0.17
Dec	1806	2.32
Jan	1807	-0.27
Feb	1807	0.29
Mar	1807	-1.76
Apr	1807	-1.61
May	1807	-0.44
Jun	1807	-0.17
Jul	1807	1.58
Aug	1807	4.34
Sep	1807	0.14
Oct	1807	-1.25
Nov	1807	0.52
Dec	1807	-0.35
Jan	1808	-0.11
Feb	1808	-1.2
Mar	1808	-2.42
Apr	1808	-1.56
May	1808	0.91
Jun	1808	0.86
Jul	1808	-0.03
Aug	1808	1.99
Sep	1808	0.4
Oct	1808	1.97
Nov	1808	-0.05
Dec	1808	-1.39
Jan	1809	-1.57
Feb	1809	0.63
Mar	1809	-1.43
Apr	1809	-2.06
May	1809	0.56
Jun	1809	1.44
Jul	1809	-0.84
Aug	1809	4.06
Sep	1809	1.11
Oct	1809	-1.54
Nov	1809	-1.95
Dec	1809	1.74
Jan	1810	-0.83
Feb	1810	0.58
Mar	1810	-1.34
Apr	1810	-1.99
May	1810	-3.52
Jun	1810	-0.87
Jul	1810	2.15
Aug	1810	2.17
Sep	1810	-0.11
Oct	1810	-1.08
Nov	1810	-0.87
Dec	1810	0.28
Jan	1811	-0.24
Feb	1811	0.91
Mar	1811	1.02
Apr	1811	-0.88
May	1811	2.25
Jun	1811	2.1
Jul	1811	1.58
Aug	1811	1.93
Sep	1811	-0.93
Oct	1811	-0.24
Nov	1811	-0.6
Dec	1811	0.69
Jan	1812	-0.35
Feb	1812	1.78
Mar	1812	-1.94
Apr	1812	-2.98
May	1812	-2.05
Jun	1812	1.21
Jul	1812	-0.46
Aug	1812	-0.01
Sep	1812	-0.97
Oct	1812	1.95
Nov	1812	-1.46
Dec	1812	-2.77
Jan	1813	-0.58
Feb	1813	2.62
Mar	1813	0.33
Apr	1813	-0.64
May	1813	-0.24
Jun	1813	-1.5
Jul	1813	0.83
Aug	1813	0.47
Sep	1813	0.36
Oct	1813	-1.43
Nov	1813	1.09
Dec	1813	-0.61
Jan	1814	-3.55
Feb	1814	-0.61
Mar	1814	-3.05
Apr	1814	0.89
May	1814	-3.74
Jun	1814	-2.26
Jul	1814	1.75
Aug	1814	1.09
Sep	1814	-0.9
Oct	1814	-0.02
Nov	1814	1.42
Dec	1814	0.11
Jan	1815	-2.03
Feb	1815	0.72
Mar	1815	1.45
Apr	1815	-1.25
May	1815	-0.58
Jun	1815	-0.81
Jul	1815	-0.77
Aug	1815	2.53
Sep	1815	0.64
Oct	1815	0.34
Nov	1815	-0.35
Dec	1815	0.37
Jan	1816	-0.32
Feb	1816	0.18
Mar	1816	-1.26
Apr	1816	-2.26
May	1816	-2.84
Jun	1816	0.04
Jul	1816	0.66
Aug	1816	0.49
Sep	1816	0.73
Oct	1816	0.02
Nov	1816	-0.4
Dec	1816	0.97
Jan	1817	0.98
Feb	1817	2.17
Mar	1817	-0.68
Apr	1817	-1.05
May	1817	-1.49
Jun	1817	0.43
Jul	1817	1.86
Aug	1817	1.74
Sep	1817	-0.24
Oct	1817	-2.11
Nov	1817	0.77
Dec	1817	-1.26
Jan	1818	2
Feb	1818	1.03
Mar	1818	1.61
Apr	1818	-2.15
May	1818	-2.12
Jun	1818	1.28
Jul	1818	1.71
Aug	1818	-0.77
Sep	1818	-0.47
Oct	1818	-0.1
Nov	1818	0.25
Dec	1818	-0.42
Jan	1819	2
Feb	1819	0.97
Mar	1819	0.36
Apr	1819	-0.82
May	1819	-0.64
Jun	1819	2.93
Jul	1819	0.49
Aug	1819	1.91
Sep	1819	0.98
Oct	1819	-0.77
Nov	1819	-1.18
Dec	1819	-2.13
Jan	1820	-1.95
Feb	1820	-0.51
Mar	1820	-1.04
Apr	1820	-0.15
May	1820	0.86
Jun	1820	1.27
Jul	1820	-0.82
Aug	1820	2.88
Sep	1820	-0.59
Oct	1820	0.68
Nov	1820	-1.4
Dec	1820	-1.44
Jan	1821	-1.89
Feb	1821	-0.83
Mar	1821	0.77
Apr	1821	0.66
May	1821	-0.43
Jun	1821	-6.64
Jul	1821	-1.13
Aug	1821	-1.3
Sep	1821	0.8
Oct	1821	0.52
Nov	1821	-0.25
Dec	1821	1.27
Jan	1822	0.42
Feb	1822	1.69
Mar	1822	2.83
Apr	1822	-2.29
May	1822	0.15
Jun	1822	-2.62
Jul	1822	-2.34
Aug	1822	0.18
Sep	1822	-0.85
Oct	1822	-0.58
Nov	1822	0.74
Dec	1822	-0.53
Jan	1823	-2
Feb	1823	0.83
Mar	1823	1.22
Apr	1823	-2.34
May	1823	0.92
Jun	1823	-0.09
Jul	1823	0.69
Aug	1823	1.76
Sep	1823	1.29
Oct	1823	-0.39
Nov	1823	-1.11
Dec	1823	0.98
Jan	1824	0.7
Feb	1824	-0.38
Mar	1824	-1.11
Apr	1824	0.27
May	1824	-0.69
Jun	1824	-4.14
Jul	1824	-2.43
Aug	1824	-1.83
Sep	1824	1.44
Oct	1824	-1.41
Nov	1824	0.75
Dec	1824	0.58
Jan	1825	-0.24
Feb	1825	0
Mar	1825	0.17
Apr	1825	-1.39
May	1825	-1.33
Jun	1825	0.63
Jul	1825	-2.8
Aug	1825	0.28
Sep	1825	-1.49
Oct	1825	1.51
Nov	1825	1.74
Dec	1825	-0.76
Jan	1826	-1.9
Feb	1826	2.83
Mar	1826	-0.66
Apr	1826	1.02
May	1826	-1.52
Jun	1826	-1.21
Jul	1826	2.41
Aug	1826	2.95
Sep	1826	-1.24
Oct	1826	1.13
Nov	1826	-1.5
Dec	1826	1.07
Jan	1827	-0.76
Feb	1827	-2.49
Mar	1827	0.81
Apr	1827	0.77
May	1827	3
Jun	1827	2.66
Jul	1827	0.24
Aug	1827	-2.7
Sep	1827	1.26
Oct	1827	-1.73
Nov	1827	-1.88
Dec	1827	1.63
Jan	1828	-0.38
Feb	1828	0.52
Mar	1828	-0.09
Apr	1828	0.2
May	1828	-0.61
Jun	1828	0.86
Jul	1828	0.38
Aug	1828	-0.05
Sep	1828	-1.95
Oct	1828	0.37
Nov	1828	-1.22
Dec	1828	1.4
Jan	1829	-2.24
Feb	1829	-0.22
Mar	1829	-2.25
Apr	1829	-1.66
May	1829	0.47
Jun	1829	-1.64
Jul	1829	1.1
Aug	1829	-1.47
Sep	1829	0.76
Oct	1829	-0.18
Nov	1829	-1.54
Dec	1829	-1.82
Jan	1830	-1.25
Feb	1830	0.11
Mar	1830	2.25
Apr	1830	1.49
May	1830	-0.75
Jun	1830	0.64
Jul	1830	1.36
Aug	1830	0.81
Sep	1830	2.12
Oct	1830	-0.11
Nov	1830	1.62
Dec	1830	-1.22
Jan	1831	-2.08
Feb	1831	0.6
Mar	1831	0.29
Apr	1831	-1.16
May	1831	-1.17
Jun	1831	0.12
Jul	1831	1.13
Aug	1831	-0.56
Sep	1831	-0.53
Oct	1831	1.68
Nov	1831	-0.77
Dec	1831	1
Jan	1832	-0.6
Feb	1832	0.12
Mar	1832	2.32
Apr	1832	-1.99
May	1832	-2.37
Jun	1832	-0.78
Jul	1832	-3.44
Aug	1832	-1.29
Sep	1832	-0.03
Oct	1832	0.65
Nov	1832	0.19
Dec	1832	1.88
Jan	1833	-2
Feb	1833	0.64
Mar	1833	-2.49
Apr	1833	0.43
May	1833	1.11
Jun	1833	0.86
Jul	1833	-1.74
Aug	1833	-2.75
Sep	1833	0.09
Oct	1833	0.97
Nov	1833	1.72
Dec	1833	2.18
Jan	1834	0.66
Feb	1834	1.21
Mar	1834	0.78
Apr	1834	-2.54
May	1834	-0.68
Jun	1834	1.33
Jul	1834	-1.01
Aug	1834	1.28
Sep	1834	-1.36
Oct	1834	0.08
Nov	1834	-1.17
Dec	1834	-1.79
Jan	1835	-0.88
Feb	1835	1.97
Mar	1835	0.28
Apr	1835	-0.66
May	1835	-0.67
Jun	1835	0.65
Jul	1835	0.27
Aug	1835	0.61
Sep	1835	2.4
Oct	1835	0.17
Nov	1835	-0.92
Dec	1835	-2.08
Jan	1836	1.47
Feb	1836	0.3
Mar	1836	3.18
Apr	1836	1.43
May	1836	-2.58
Jun	1836	2.09
Jul	1836	1.88
Aug	1836	1.2
Sep	1836	-1.48
Oct	1836	0.41
Nov	1836	1.88
Dec	1836	-0.83
Jan	1837	-1.85
Feb	1837	2.73
Mar	1837	-2.23
Apr	1837	-1.41
May	1837	-1.29
Jun	1837	-1.21
Jul	1837	-1.64
Aug	1837	-1.54
Sep	1837	0.17
Oct	1837	1.46
Nov	1837	1.17
Dec	1837	0.54
Jan	1838	-1.37
Feb	1838	-1.1
Mar	1838	0.85
Apr	1838	-0.59
May	1838	-2.33
Jun	1838	0.64
Jul	1838	-0.11
Aug	1838	0.09
Sep	1838	1.04
Oct	1838	-0.03
Nov	1838	-0.79
Dec	1838	0.42
Jan	1839	0.82
Feb	1839	2.02
Mar	1839	-0.5
Apr	1839	-1.48
May	1839	-0.3
Jun	1839	-1.26
Jul	1839	1.39
Aug	1839	1
Sep	1839	2.87
Oct	1839	-0.54
Nov	1839	-0.83
Dec	1839	-0.94
Jan	1840	2.52
Feb	1840	-0.32
Mar	1840	-2.99
Apr	1840	0.25
May	1840	-1.82
Jun	1840	1.48
Jul	1840	2.61
Aug	1840	1.11
Sep	1840	2.03
Oct	1840	-1.98
Nov	1840	0.56
Dec	1840	-1.64
Jan	1841	-0.69
Feb	1841	-0.42
Mar	1841	2.01
Apr	1841	0.88
May	1841	1.95
Jun	1841	-0.48
Jul	1841	-0.29
Aug	1841	2.38
Sep	1841	-0.39
Oct	1841	-0.31
Nov	1841	0.07
Dec	1841	1.31
Jan	1842	-0.19
Feb	1842	2.91
Mar	1842	1.88
Apr	1842	-2.1
May	1842	1.89
Jun	1842	0.13
Jul	1842	-0.74
Aug	1842	3.37
Sep	1842	-1.73
Oct	1842	-1.23
Nov	1842	-1.43
Dec	1842	1.25
Jan	1843	2.97
Feb	1843	-3.1
Mar	1843	-1.13
Apr	1843	0.35
May	1843	-2.39
Jun	1843	-0.65
Jul	1843	0.63
Aug	1843	2.49
Sep	1843	-1.46
Oct	1843	-0.47
Nov	1843	1.33
Dec	1843	0.2
Jan	1844	0.65
Feb	1844	-0.46
Mar	1844	0.7
Apr	1844	1.49
May	1844	-2.58
Jun	1844	0.03
Jul	1844	-1.44
Aug	1844	1
Sep	1844	-0.94
Oct	1844	0.57
Nov	1844	-1.09
Dec	1844	-3.6
Jan	1845	1.29
Feb	1845	-0.47
Mar	1845	-2.08
Apr	1845	-0.18
May	1845	-0.64
Jun	1845	2.35
Jul	1845	-0.05
Aug	1845	-0.08
Sep	1845	1.61
Oct	1845	-0.02
Nov	1845	1.95
Dec	1845	1.12
Jan	1846	0.93
Feb	1846	0.58
Mar	1846	1.78
Apr	1846	-1.14
May	1846	0.8
Jun	1846	0.76
Jul	1846	3.1
Aug	1846	1.05
Sep	1846	-0.44
Oct	1846	2.18
Nov	1846	0.48
Dec	1846	-1.78
Jan	1847	-0.09
Feb	1847	-0.12
Mar	1847	-0.5
Apr	1847	-0.19
May	1847	1.18
Jun	1847	1.19
Jul	1847	-0.22
Aug	1847	0.56
Sep	1847	1.26
Oct	1847	0.02
Nov	1847	2.91
Dec	1847	0.89
Jan	1848	-0.5
Feb	1848	2.65
Mar	1848	1.77
Apr	1848	-0.69
May	1848	1.15
Jun	1848	0.68
Jul	1848	0.92
Aug	1848	2.11
Sep	1848	-0.36
Oct	1848	-2.08
Nov	1848	-0.82
Dec	1848	0.29
Jan	1849	0.55
Feb	1849	1.07
Mar	1849	-0.24
Apr	1849	-0.26
May	1849	-0.05
Jun	1849	-0.69
Jul	1849	0.68
Aug	1849	0.27
Sep	1849	-1.44
Oct	1849	-0.53
Nov	1849	1.21
Dec	1849	-1.64
Jan	1850	-1.62
Feb	1850	2.65
Mar	1850	-2.38
Apr	1850	1.35
May	1850	0.67
Jun	1850	2.22
Jul	1850	-1.02
Aug	1850	2.17
Sep	1850	-1.68
Oct	1850	-1.28
Nov	1850	1.31
Dec	1850	0.25
Jan	1851	2.32
Feb	1851	0
Mar	1851	1.06
Apr	1851	-0.35
May	1851	0.11
Jun	1851	0.72
Jul	1851	0.2
Aug	1851	-0.71
Sep	1851	-0.57
Oct	1851	1.16
Nov	1851	-1.49
Dec	1851	-0.72
Jan	1852	2.08
Feb	1852	0.66
Mar	1852	-2.6
Apr	1852	-2.56
May	1852	0.89
Jun	1852	2.14
Jul	1852	-0.98
Aug	1852	0.49
Sep	1852	-0.78
Oct	1852	-2.15
Nov	1852	-2.17
Dec	1852	2.51
Jan	1853	2.69
Feb	1853	-1.47
Mar	1853	-1.54
Apr	1853	0.88
May	1853	-1.32
Jun	1853	0.91
Jul	1853	2.32
Aug	1853	-1.4
Sep	1853	1.39
Oct	1853	1.07
Nov	1853	1.36
Dec	1853	-2
Jan	1854	1.25
Feb	1854	1.01
Mar	1854	0.72
Apr	1854	-0.73
May	1854	0.9
Jun	1854	-0.58
Jul	1854	-1.16
Aug	1854	1.75
Sep	1854	-0.8
Oct	1854	0.78
Nov	1854	-0.83
Dec	1854	2.38
Jan	1855	-1.31
Feb	1855	-2.5
Mar	1855	0.2
Apr	1855	0.44
May	1855	-1.02
Jun	1855	1.32
Jul	1855	1.04
Aug	1855	1.13
Sep	1855	-1.42
Oct	1855	0.56
Nov	1855	-1.65
Dec	1855	-0.32
Jan	1856	-1.03
Feb	1856	-0.59
Mar	1856	-2.85
Apr	1856	-0.09
May	1856	-1.43
Jun	1856	1.9
Jul	1856	0.45
Aug	1856	-3.12
Sep	1856	0.55
Oct	1856	-0.3
Nov	1856	-1.41
Dec	1856	0.85
Jan	1857	-0.46
Feb	1857	1.08
Mar	1857	1.08
Apr	1857	0.32
May	1857	-1.43
Jun	1857	-2.04
Jul	1857	2.38
Aug	1857	-1.33
Sep	1857	-0.15
Oct	1857	0.17
Nov	1857	-2.85
Dec	1857	1.45
Jan	1858	1
Feb	1858	-0.7
Mar	1858	-0.16
Apr	1858	-1.77
May	1858	1.73
Jun	1858	0.02
Jul	1858	0.59
Aug	1858	0.35
Sep	1858	2.59
Oct	1858	-0.47
Nov	1858	-2.87
Dec	1858	1.46
Jan	1859	1.8
Feb	1859	1.5
Mar	1859	1.17
Apr	1859	-1.95
May	1859	0.49
Jun	1859	0.24
Jul	1859	-0.96
Aug	1859	2.04
Sep	1859	1.15
Oct	1859	-1.14
Nov	1859	-0.01
Dec	1859	-0.85
Jan	1860	1.47
Feb	1860	0.13
Mar	1860	2.19
Apr	1860	0.44
May	1860	-1.06
Jun	1860	0.87
Jul	1860	-1.41
Aug	1860	1.15
Sep	1860	-0.25
Oct	1860	1.14
Nov	1860	-2.2
Dec	1860	-1.86
Jan	1861	-2.04
Feb	1861	1
Mar	1861	3.14
Apr	1861	-3.06
May	1861	-2.66
Jun	1861	-0.99
Jul	1861	3.53
Aug	1861	2.51
Sep	1861	0.44
Oct	1861	-0.03
Nov	1861	-0.32
Dec	1861	-1.35
Jan	1862	0.01
Feb	1862	-1.29
Mar	1862	-2.01
Apr	1862	-0.26
May	1862	0.6
Jun	1862	2.9
Jul	1862	1.45
Aug	1862	-0.36
Sep	1862	-1.19
Oct	1862	2.22
Nov	1862	1.41
Dec	1862	1.63
Jan	1863	1.95
Feb	1863	1.47
Mar	1863	2.61
Apr	1863	1.27
May	1863	-1.2
Jun	1863	1.44
Jul	1863	-1.32
Aug	1863	0.25
Sep	1863	2.92
Oct	1863	1.34
Nov	1863	0.95
Dec	1863	0.98
Jan	1864	1.09
Feb	1864	0.22
Mar	1864	-1.26
Apr	1864	-0.98
May	1864	-2.24
Jun	1864	2.2
Jul	1864	0.03
Aug	1864	-3.98
