Mon	Year	NAO
Apr	1682	-0.66
May	1682	0.21
Jun	1682	0.26
Jul	1682	0.38
Aug	1682	0.5
Sep	1682	-0.47
Oct	1682	-0.2
Nov	1682	0.02
Dec	1682	1.28
Jan	1683	0.51
Feb	1683	0.18
Mar	1683	0.81
Apr	1683	0.13
May	1683	-0.23
Jun	1683	-0.52
Jul	1683	0.43
Aug	1683	0.5
Sep	1683	0.47
Oct	1683	-1.2
Nov	1683	-0.9
Dec	1683	-1.04
Jan	1684	-1.93
Feb	1684	-3.08
Mar	1684	-0.57
Apr	1684	-1
May	1684	0.61
Jun	1684	-0.6
Jul	1684	0.58
Aug	1684	0.53
Sep	1684	-0.16
Oct	1684	0.47
Nov	1684	-1.19
Dec	1684	0.29
Jan	1685	-1.01
Feb	1685	0.01
Mar	1685	-1.13
Apr	1685	0.26
May	1685	1.07
Jun	1685	-0.22
Jul	1685	-0.19
Aug	1685	-0.34
Sep	1685	-1.15
Oct	1685	0.61
Nov	1685	0.06
Dec	1685	1
Jan	1686	1.73
Feb	1686	0.79
Mar	1686	0.41
Apr	1686	-0.23
May	1686	0.38
Jun	1686	-0.15
Jul	1686	0.12
Aug	1686	0.27
Sep	1686	0.31
Oct	1686	0.01
Nov	1686	-0.38
Dec	1686	0.43
Jan	1687	0.11
Feb	1687	0.39
Mar	1687	-0.13
Apr	1687	0.13
May	1687	-0.98
Jun	1687	0.18
Jul	1687	0.11
Aug	1687	0.68
Sep	1687	-0.81
Oct	1687	0.6
Nov	1687	0.63
Dec	1687	0.64
Jan	1688	-1.48
Feb	1688	-1.32
Mar	1688	-1
Apr	1688	-0.53
May	1688	-0.23
Jun	1688	-0.52
Jul	1688	-0.27
Aug	1688	-0.47
Sep	1688	-0.02
Oct	1688	-1.09
Nov	1688	-0.47
Dec	1688	0.19
Jan	1689	-0.98
Feb	1689	0.44
Mar	1689	-0.64
Apr	1689	0.24
May	1689	-0.45
Jun	1689	-0.08
Jul	1689	0.34
Aug	1689	0.32
Sep	1689	0
Oct	1689	-0.36
Nov	1689	-0.87
Dec	1689	0.44
Jan	1690	1
Feb	1690	0.68
Mar	1690	-0.67
Apr	1690	-0.45
May	1690	-0.43
Jun	1690	0.28
Jul	1690	0.24
Aug	1690	0.23
Sep	1690	-0.66
Oct	1690	-0.05
Nov	1690	0.24
Dec	1690	-0.11
Jan	1691	-1.17
Feb	1691	-1.07
Mar	1691	-0.61
Apr	1691	-0.49
May	1691	-0.31
Jun	1691	-0.77
Jul	1691	-0.42
Aug	1691	-0.37
Sep	1691	-0.71
Oct	1691	-0.42
Nov	1691	-2.22
Dec	1691	-0.22
Jan	1692	-1.3
Feb	1692	-1.52
Mar	1692	-0.86
Apr	1692	0.08
May	1692	-0.34
Jun	1692	-0.01
Jul	1692	0.21
Aug	1692	0.35
Sep	1692	-0.29
Oct	1692	-1.12
Nov	1692	-0.31
Dec	1692	-0.09
Jan	1693	1.23
Feb	1693	1.59
Mar	1693	-0.21
Apr	1693	0.11
May	1693	-0.72
Jun	1693	0.04
Jul	1693	0.21
Aug	1693	0.29
Sep	1693	-0.22
Oct	1693	-0.41
Nov	1693	0.09
Dec	1693	-0.28
Jan	1694	-2.35
Feb	1694	0.02
Mar	1694	0.05
Apr	1694	1.13
May	1694	0.03
Jun	1694	-1
Jul	1694	0.04
Aug	1694	0.6
Sep	1694	-0.64
Oct	1694	-1.03
Nov	1694	-0.23
Dec	1694	-0.74
Jan	1695	-3.71
Feb	1695	-3.23
Mar	1695	-1.55
Apr	1695	-1.39
May	1695	-0.83
Jun	1695	-1.59
Jul	1695	-1.23
Aug	1695	-1.25
Sep	1695	-0.89
Oct	1695	-0.36
Nov	1695	-0.87
Dec	1695	-0.42
Jan	1696	1.37
Feb	1696	0.75
Mar	1696	-0.9
Apr	1696	-0.43
May	1696	-0.02
Jun	1696	0.16
Jul	1696	0.06
Aug	1696	0.14
Sep	1696	-0.59
Oct	1696	-0.01
Nov	1696	-0.52
Dec	1696	-1.05
Jan	1697	-2.06
Feb	1697	-1.02
Mar	1697	-0.65
Apr	1697	-0.82
May	1697	-1.37
Jun	1697	0.2
Jul	1697	0.24
Aug	1697	0.69
Sep	1697	0.02
Oct	1697	-0.69
Nov	1697	-1.26
Dec	1697	-0.59
Jan	1698	-0.91
Feb	1698	-0.83
Mar	1698	-0.29
Apr	1698	-0.21
May	1698	-0.72
Jun	1698	0.06
Jul	1698	0.12
Aug	1698	-0.04
Sep	1698	0.12
Oct	1698	-0.13
Nov	1698	-0.52
Dec	1698	-1.39
Jan	1699	-0.35
Feb	1699	-0.91
Mar	1699	-0.85
Apr	1699	-0.63
May	1699	-0.43
Jun	1699	-0.1
Jul	1699	-0.15
Aug	1699	0.66
Sep	1699	0.28
Oct	1699	-0.36
