year	doy.on	doy.off	aod	reff
1945	23	103	0	0.2
1946	6	104	0	0.2
1947	0	105	0	0.2
1948	51	83	0	0.2
1949	20	91	0	0.2
1950	9	100	0	0.2
1951	38	96	0	0.2
1952	6	116	0	0.2
1953	18	104	0	0.2
1954	0	109	0	0.2
1955	19	111	0	0.2
