year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1533	1	0	-41	-0.183	282.4466			0.002	0.2
1534	1	0	-15	0.028	282.3584			0	0.2
1535	1	0	-41	-0.198	282.2737			0	0.2
1536	1	0	5	1.769	282.1927			0.007	0.2
1537	1	0	-18	0.778	282.1155			0.014	0.25
1538	1	0	-44	-2.376	282.0424			0.003	0.2
1539	1	0	13	1.02	281.9733			0.001	0.2
1540	1	0	-39	1.549	281.9086			0	0.2
1541	1	0	-28	0.471	281.8483			0	0.2
1542	1	0	-16	-2.922	281.7926			0.011	0.23
1543	1	0	-27	0.643	281.7418			0.004	0.2
1544	1	0	-18	0.048	281.6958			0.001	0.2
1545	1	0	1	0.005	281.6549			0	0.2
1546	1	1	NA	0.638	281.6193			0	0.2
1547	1	0	-26	-0.768	281.5891			0	0.2
1548	1	0	-18	-0.948	281.5644			0	0.2
1549	1	0	-24	0.963	281.5455			0	0.2
1550	1	0	-27	0.847	281.5324			0	0.2
1551	1	0	3	-0.337	281.5253			0	0.2
1552	1	0	-37	-1.308	281.5244			0	0.2
1553	1	NA	NA	0.789	281.5299			0.012	0.23
1554	1	0	-23	0.214	281.5418			0.028	0.31
1555	1	1	NA	0.367	281.5604			0.012	0.23
1556	1	0	-29	0.347	281.5859			0.003	0.2
1557	1	0	-7	0.493	281.6182		14.452	0	0.2
1558	1	0	-31	-0.438	281.6577		14.936	0	0.2
1559	1	0	-29	-0.26	281.7045		14.387	0	0.2
1560	1	0	5	0.034	281.7587		14.917	0	0.2
1561	1	0	-21	-0.795	281.8203		13.959	0.03	0.32
1562	1	0	-27	-0.282	281.8879		14.834	0.01	0.22
1563	1	0	-19	-0.377	281.96		14.759	0.019	0.27
1564	1	0	-25	1.008	282.0352		14.489	0.006	0.2
1565	1	0	-32	1.289	282.112		13.996	0.001	0.2
1566	1	0	-23	-0.1	282.1887		15.122	0	0.2
1567	1	0	-27	-1.408	282.264		14.657	0.012	0.23
1568	1	0	-37	-0.163	282.3362		14.657	0.007	0.2
1569	1	0	-40	0.677	282.4039		14.164	0.002	0.2
1570	1	0	-5	0.366	282.4655		15.048	0.011	0.23
1571	1	0	-40	-0.498	282.5196		14.806	0.015	0.25
1572	1	0	-15	0.603	282.5646		13.568	0.009	0.21
1573	1	0	-32	-1.126	282.599		14.694	0.015	0.25
1574	1	0	7	0.025	282.6213		14.499	0.003	0.2
1575	1	0	-6	0.532	282.63		14.461	0.023	0.29
1576	1	0	-30	-0.75	282.6235		15.289	0.053	0.38
1577	1	0	-26	1.034	282.6003		14.071	0.019	0.27
1578	1	0	-3	1.274	282.559		14.61	0.02	0.28
1579	1	0	-18	-1.754	282.498		15.215	0.007	0.2
1580	1	0	-20	-1.202	282.4158		15.094	0.012	0.23
1581	1	0	-2	0.76	282.3108		14.806	0.003	0.2
1582	1	0	-45	1.211	282.1816		14.424	0.001	0.2
1583	1	0	-44	0.333	282.0267		14.768	0.011	0.22
1584	1	0	-34	-1.193	281.8445		15.113	0.003	0.2
1585	1	0	-17	-1.823	281.6335		13.903	0.053	0.38
1586	1	0	-34	1.629	281.3922		13.857	0.018	0.27
1587	1	0	-39	0.36	281.1191		14.396	0.004	0.2
1588	1	0	-17	0.679	280.8126		14.322	0.015	0.25
1589	1	0	-31	0.755	280.4722		15.196	0.005	0.2
1590	1	0	-18	-1.676	280.1008		14.964	0.001	0.2
1591	1	0	-18	-0.477	279.7022		14.061	0.01	0.22
1592	1	0	-34	-0.271	279.2801		14.62	0.003	0.2
1593	1	0	32	-0.137	278.8385		14.089	0.019	0.27
1594	1	NA	NA	1.565	278.3811		14.285	0.068	0.41
1595	1	0	-7	-0.238	277.9118		14.722	0.028	0.31
1596	1	0	-6	0.869	277.4344		15.066	0.021	0.28
1597	1	0	-49	-0.442	276.9527		15.141	0.007	0.2
1598	1	0	-42	-0.959	276.4705		15.075	0.001	0.2
1599	1	0	-10	1.956	275.9916		14.908	0	0.2
1600	1	0	-43	-2.034	275.5199		14.768	0.147	0.53
1601	1	0	-2	-0.958	275.0592		13.903	0.132	0.51
1602	1	0	-28	0.568	274.6133		15.494	0.05	0.37
1603	1	0	-31	1.093	274.186		14.536	0.019	0.27
1604	1	0	-17	0.397	273.7811		14.629	0.007	0.2
1605	1	0	-44	-0.309	273.4025		15.085	0	0.2
1606	1	0	-39	-0.272	273.054		14.043	0	0.2
1607	1	0	-7	-0.958	272.7393		14.945	0.013	0.24
1608	1	0	-26	0.37	272.4624		14.424	0.004	0.2
1609	1	0	-44	-0.055	272.227		14.378	0.001	0.2
1610	1	0	-31	1.196	272.0369		14.071	0.006	0.2
1611	1	0	-40	0.328	271.8949		15.001	0.002	0.2
1612	1	0	-6	0.075	271.7991		14.573	0	0.2
1613	1	0	-22	-1.13	271.7466		15.038	0.005	0.2
1614	1	0	-41	-0.357	271.7345		14.992	0.014	0.24
1615	1	0	-9	0.122	271.7599		13.782	0.004	0.2
1616	1	0	-40	-0.287	271.8199		15.438	0.001	0.2
1617	1	0	-29	0.37	271.9114		15.01	0	0.2
1618	1	0	-21	0.235	272.0316		14.843	0	0.2
1619	1	0	-21	-0.258	272.1776		14.638	0	0.2
1620	1	0	-54	0.309	272.3464		13.95	0	0.2
1621	1	0	-24	1.91	272.5351		14.694	0.025	0.3
1622	1	0	-19	-0.355	272.7408		15.634	0.033	0.32
1623	1	0	-7	-0.936	272.9606		14.061	0.007	0.2
1624	1	0	-9	-0.808	273.1914		14.703	0.002	0.2
1625	1	0	-23	0.387	273.4305		15.28	0	0.2
1626	1	0	-22	-1.477	273.6749		14.629	0.004	0.2
1627	1	0	-23	0.574	273.9216		15.289	0.001	0.2
1628	1	0	-41	0.264	274.1677		15.885	0	0.2
1629	1	0	-11	1.193	274.4103		14.936	0	0.2
1630	1	0	-40	0.856	274.6469		15.02	0.01	0.22
1631	1	0	-7	-0.713	274.8767		14.527	0.003	0.2
1632	1	0	-13	-2.415	275.0994		14.852	0.001	0.2
1633	1	0	-22	0.285	275.3145		14.834	0	0.2
1634	1	0	-34	0.488	275.5216		14.173	0	0.2
1635	1	0	-29	1.404	275.7205		14.703	0	0.2
1636	1	0	-20	0.223	275.9108		15.327	0	0.2
1637	1	0	-31	-1.019	276.0919		15.075	0	0.2
1638	1	0	-10	-0.998	276.2637		14.88	0	0.2
1639	1	0	-12	0.573	276.4257		14.322	0	0.2
1640	1	0	-13	0.995	276.5776		15.224	0.022	0.28
1641	1	0	-47	-0.189	276.719		13.299	0.157	0.54
1642	1	0	-6	0.542	276.8502		14.675	0.101	0.47
1643	1	0	-26	0.074	276.9714		14.75	0.036	0.33
1644	1	0	-30	0.167	277.0828		15.848	0.013	0.24
1645	1	0	-19	-1.775	277.1848		15.289	0.027	0.3
1646	1	0	9	0.557	277.2777		14.768	0.007	0.2
1647	1	0	-27	1.34	277.3615		15.094	0.002	0.2
1648	1	0	-33	-2.14	277.4368		14.768	0	0.2
1649	1	0	-26	0.274	277.5036		14.489	0	0.2
1650	1	0	-17	0.059	277.5623		14.666	0	0.2
1651	1	0	-18	2.332	277.6132		14.545	0	0.2
1652	1	0	-25	0.349	277.6564		15.131	0	0.2
1653	1	0	-18	-1.129	277.6924		13.913	0	0.2
1654	1	0	-24	-2.918	277.7212		15.206	0	0.2
1655	1	0	-21	0.807	277.7433		14.052	0	0.2
1656	1	0	-21	1.773	277.7589		13.931	0	0.2
1657	1	0	-7	-0.446	277.7682		13.448	0	0.2
1658	1	0	-34	-0.272	277.7714		14.378	0	0.2
1659	1	0	-21	-0.505	277.769		15.159	0	0.2
1660	1	0	-20	0.265	277.7611		14.452	0	0.2
1661	1	0	-13	1.125	277.748		14.508	0	0.2
1662	1	0	-30	0.485	277.73		15.652	0.013	0.24
1663	1	0	-21	-0.048	277.7073		14.629	0.004	0.2
1664	1	0	-36	-0.824	277.6802		14.88	0.001	0.2
1665	1	0	-34	0.49	277.649		14.238	0	0.2
1666	1	0	-26	0.144	277.6139		15.643	0	0.2
